model,cmdstan_run_id,status,elpd_loo,se_loo,p_loo,elpd_waic,se_waic,p_waic,elpd_diff_from_best,se_diff,pareto_k_gt_0_7,pareto_k_max,n_obs,n_draws_available,n_draws_used,compare_rank,compare_weight,note
M3_dynamic_regression,20260719195815,computed,-109852.02185153961,256.5276712653805,18.986358165740967,-109852.00249638781,256.530728207865,18.965258385627664,0.0,0.0,0,0.23683549383321076,34258,4000,4000,0,0.9792805582560352,LOO and model ranking computed with ArviZ az.loo/az.compare from NetCDF. WAIC computed from the NetCDF log_likelihood group because this ArviZ version does not expose az.waic.
M0_dynamic_only,20260719195303,computed,-111173.78057670593,254.08773103039258,6.289798736572266,-111173.76958690578,254.0901609577701,6.276971864562036,-1321.7587251663208,52.09108516761257,0,0.22018251312227372,34258,4000,4000,1,3.932918937436965e-10,LOO and model ranking computed with ArviZ az.loo/az.compare from NetCDF. WAIC computed from the NetCDF log_likelihood group because this ArviZ version does not expose az.waic.
M2_fourier_seasonality,20260719195520,computed,-134318.3106622696,184.4021557934838,15.084076404571533,-134318.29628440505,184.40473087067593,15.067141460626818,-24466.28881072998,248.5429668098376,0,0.2346144914058434,34258,4000,4000,2,0.015140096682707774,LOO and model ranking computed with ArviZ az.loo/az.compare from NetCDF. WAIC computed from the NetCDF log_likelihood group because this ArviZ version does not expose az.waic.
M1_meteorological,20260719195411,computed,-135566.810795784,184.40797817950076,6.643862247467041,-135566.8044286844,184.41062028002577,6.634677072615674,-25714.788944244385,249.0322275467227,0,0.24384210588438013,34258,4000,4000,3,0.005579344667965112,LOO and model ranking computed with ArviZ az.loo/az.compare from NetCDF. WAIC computed from the NetCDF log_likelihood group because this ArviZ version does not expose az.waic.
