model,model_label,cmdstan_run_id,n,draws_available,draws_used,mae,rmse,crps,coverage_50,coverage_90,width_50,width_90
M3_baseline,M3 baseline prior,20260719195815,8565,4000,1000,4.868683975843471,7.45998807853183,3.5879601637434186,0.542790426152948,0.8845300642148278,9.186797610608064,22.944866274780523
M3_wide_priors,"M3 beta prior Normal(0, 0.6)",20260719210009,8565,4000,1000,4.870469814270756,7.460235611038096,3.5879971833094215,0.5424401634559253,0.8848803269118506,9.186872827502388,22.94677412433358
M3_dynamic_student_t,M3 Student-t log-PM10 likelihood,20260719210339,8565,4000,1000,4.7821971165871435,69.1876933441476,3.5230660531448477,0.4711033274956217,0.8676007005253941,7.631092295518636,21.85798672577386
