model,prior_draws,median_pm10_median_across_draws,median_pm10_q05_across_draws,median_pm10_q95_across_draws,q95_pm10_median_across_draws,q95_pm10_q05_across_draws,q95_pm10_q95_across_draws,q99_pm10_median_across_draws,q99_pm10_q05_across_draws,q99_pm10_q95_across_draws,max_pm10_median_across_draws,max_pm10_q05_across_draws,max_pm10_q95_across_draws,share_gt_100_median_across_draws,share_gt_100_q05_across_draws,share_gt_100_q95_across_draws,share_gt_200_median_across_draws,share_gt_200_q05_across_draws,share_gt_200_q95_across_draws,share_gt_500_median_across_draws,share_gt_500_q05_across_draws,share_gt_500_q95_across_draws
M0,1000,29.843226484138654,10.046172642605626,98.34715721031152,67.28205245644848,19.44644009655492,277.0019493482869,94.3336060844904,23.1445235494822,489.53921231724814,239.50971842620004,34.68289882697865,2608.2313735882753,0.007326755794267032,0.0,0.48962286181329867,8.757078638566174e-05,0.0,0.11463599743125694,0.0,0.0,0.00943429271994862
M1,1000,30.445493411350633,9.464508713871556,100.8231885265039,106.08688935874306,26.332059093972788,409.71628026258446,174.16212391046724,38.135893456006244,781.5122384195921,543.9394091888116,67.28072382469149,5904.2139902249555,0.05992760814992119,0.0,0.5037100823165391,0.0059548134742249985,0.0,0.2033262303695487,2.9190262128553916e-05,0.0,0.03218372350983707
M2,1000,31.52719841254075,10.262329725576535,97.86923728961214,143.91365345436458,42.02733410931673,583.2365682638621,251.1701044561271,65.41297440950359,1163.2469539856168,880.0091913790841,156.00900542086742,9695.031850198324,0.1071136668807286,0.0006421857668281861,0.4915450405744643,0.020929417946173156,0.0,0.24664311985521628,0.0005546149804425244,0.0,0.06895615622628289
M3,1000,29.479235164146033,8.888748168466414,97.3509078068397,152.37502117451916,41.33056701732025,564.4180528515024,275.4183140321452,69.34302387710639,1259.590952499853,1087.5007566431912,185.04797263568292,12028.068725448145,0.11136085002043318,0.0025643645279934614,0.49030445443400084,0.02538093292077763,0.0,0.2524359273746277,0.0010800396987564948,0.0,0.06320859361317056
