model,model_label,fit_source,n_chains,draws_per_chain,total_draws,phi_median,phi_q05,phi_q95,rhat_phi,bulk_ess_phi,tail_ess_phi,divergences,max_treedepth_hits,min_ebfmi,step_size_mean,step_size_min,step_size_max,note
M0_dynamic_only,M0 lag-only,results/fits/cmdstan/revision_phi_diagnostics/m0_dynamic_only,4,1000,4000,0.913796705,0.9101263775,0.917240329,1.0,2103.0,2421.0,0,0,0.8682358045685312,0.37774052499999994,0.33017778,0.42423541,Diagnostics computed from the original Stan model specification with y_rep and log_lik generated quantities retained.
M3_dynamic_regression,M3 full,results/fits/cmdstan/revision_phi_diagnostics/m3_dynamic_regression,4,1000,4000,0.86459687,0.8603290804999999,0.869094781,1.0,2547.0,2354.0,0,0,1.0106058410023868,0.206742825,0.186685,0.25333497,Diagnostics computed from the original Stan model specification with y_rep and log_lik generated quantities retained.
