model_family,variant,model,model_label,n_train,n_test,draws_available,draws_used,mae,rmse,crps,coverage_90,width_90,elpd_loo,se_loo,p_loo,elpd_waic,se_waic,p_waic,pareto_k_max,pareto_k_gt_0_7,pareto_k_gt_1_0,note
M0,tanh,M0_dynamic_only,M0 tanh(phi_raw),34258,8565,4000,1000,4.929654840286489,7.332406001615644,3.6589000001246306,0.888733216579101,23.893949393887173,-111173.78108406067,254.0877636488976,6.290306091308594,-111173.76958690581,254.0901609577701,6.276971864562036,0.17235698113698086,0,0,Final-test metrics and PSIS-LOO/WAIC for tanh-constrained versus direct-phi parameterizations.
M0,phi_free,M0_dynamic_only_phi_free,M0 phi free,34258,8565,4000,1000,4.930648222703192,7.3330021766739515,3.658547244343519,0.8890834792761237,23.905540440016807,-111173.86514568329,254.08089182458352,6.448329925537109,-111173.85718205367,254.0837935852869,6.438632694197768,0.0865704893718544,0,0,Final-test metrics and PSIS-LOO/WAIC for tanh-constrained versus direct-phi parameterizations.
M3,tanh,M3_dynamic_regression,M3 tanh(phi_raw),34258,8565,4000,1000,4.865446093724439,7.4527934501167925,3.6047965489633844,0.8855808523058961,22.974248200077277,-109852.02339458466,256.5276948556024,18.987901210784912,-109852.00249638782,256.530728207865,18.965258385627664,0.1716280380866569,0,0,Final-test metrics and PSIS-LOO/WAIC for tanh-constrained versus direct-phi parameterizations.
M3,phi_free,M3_dynamic_regression_phi_free,M3 phi free,34258,8565,4000,1000,4.865515175876122,7.45438676129129,3.602197651517592,0.8833625218914186,22.95837394020943,-109851.99180030823,256.4780467506655,18.966579914093018,-109851.97654068314,256.4823757993435,18.949537699092016,0.23710528893976998,0,0,Final-test metrics and PSIS-LOO/WAIC for tanh-constrained versus direct-phi parameterizations.
