Model,elpd_loo,se(elpd_loo),p_loo,elpd_waic,se(elpd_waic),elpd diff. from best,se(diff.),Max Pareto k,n (k > 0.7),Rank
M3_dynamic_regression,-109852.0218515396,256.5276712653805,18.986358165740967,-109852.0024963878,256.530728207865,0.0,0.0,0.2368354938332107,0,0
M0_dynamic_only,-111173.78057670592,254.08773103039255,6.289798736572266,-111173.76958690578,254.0901609577701,-1321.7587251663208,52.09108516761257,0.2201825131222737,0,1
M2_fourier_seasonality,-134318.3106622696,184.4021557934838,15.084076404571531,-134318.29628440505,184.40473087067593,-24466.28881072998,248.5429668098376,0.2346144914058434,0,2
M1_meteorological,-135566.810795784,184.40797817950076,6.643862247467041,-135566.8044286844,184.41062028002577,-25714.788944244385,249.0322275467227,0.2438421058843801,0,3
