Variant,MAE,RMSE,CRPS,Coverage (90%),Width (90%)
M3 baseline prior,4.868683975843471,7.45998807853183,3.587960163743418,0.8845300642148278,22.944866274780523
"M3 beta prior Normal(0, 0.6)",4.870469814270756,7.460235611038096,3.5879971833094215,0.8848803269118506,22.94677412433358
M3 Student-t log-PM10 likelihood,4.7821971165871435,69.1876933441476,3.5230660531448477,0.8676007005253941,21.85798672577386
